/*
The string not found in LCD language file, need to be added manually.
*/


a_over,Over,已结束
a_invalidid,User ID must be IP:Port.The port range is 0-65535,用户ID必须为组播IP:端口的形式，端口范围为0-65535
a_forceblf,Force BLF Call-pickup by Prefix,强制使用代接前缀
a_mpkblacklist,The MPK is in the blacklist,此MPK存在黑名单中
a_selectall,Check All,全部选中
a_dtmfwrong,The DTMF Content is illegal,DTMF内容不合法
a_nameempty,Name can't be empty,显示名不能为空
a_acctblfexist,Same user for programmable keys existed in other account. Please check,已经有一个相同的可编程键联系人存在
a_blfexist,Same user existed in the account. Please check,已经有一个相同的联系人存在
a_down,Down,下移
a_up,Up,上移
a_eventuri,EventList BLF URI,BLF号码组
a_nomoreext,There is already 40 keys, no more can be added,已有40个联系人，不能再添加
a_phname,Name,用户名
a_disfmtfromser,Show Display Name from Server,显示服务器上名称
a_formatting,Formatting,格式
a_dtmfcontent,DTMF Content,DTMF内容
a_name_userid_keymode,Name,User ID,Key mode,用户名、用户ID、模式
a_name_userid,Name,User ID,用户名、用户ID
a_userid,User ID,用户ID
a_callintercom,Call Intercom,对讲
a_callredir,Call Transfer,呼叫转移
a_dialprefix,Dial Prefix,拨号前缀
a_conference,Speed Conference,快速会议
a_gds,Value-added Service,增值服务
a_dstype,Door System,门禁系统
a_dtmfsystem,Others,其他门禁
a_gdssystem,GDS,GDS门禁
a_doorsysytemtype,Door System Type,门禁系统类型
a_servicetype,Service Type,服务类型
a_multipaging,Multicast Paging,多播对讲
a_callpark,Call Park,停靠
a_dtmfdial,Dial DTMF,拨打DTMF
a_dialvia,Speed Dial via active account,使用激活帐号快速拨号
a_busy,Busy Lamp Field (BLF),Asterisk忙灯检测
a_speeddial,Speed Dial,快速拨号
a_keymode,Key Mode,按键模式
a_value,Value,用户ID
a_blf,BLF,BLF
a_avail,Available,所有铃声
a_detail,Detail,详细信息
a_username,User Name,用户名
a_wait,Waiting..,请稍候
tip_url,Please enter a valid URL,请输入正确格式的网址
tip_maxhits,Please input a digit between 0-4000,请输入0-4000之间的整数
setdefault,Set as default,设为默认
a_accempty,The account is empty,帐号不能为空
a_alias,Local Alias,显示名称
a_password,Password, 密码
a_account,Account, 帐号
a_active,Enable,开启
a_mailfilter2,Mail Filter,根据邮件过滤
a_numberfilter2,Number Filter,根据号码过滤
a_namefilter2,Name Filter,根据名字过滤
a_allfilter,All Filter,全部过滤
a_searchfieldfilter,Search Field Filter,搜索字段过滤
a_mailfilter,LDAP Mail Filter,LDAP邮件筛选规则
a_lookupcall,LDAP Lookup For Incoming Call,来电时进行LDAP查找
a_lookupdial,LDAP Lookup For Dial,拨号时进行LDAP查找
a_searchtimeout,Search Timeout (s),搜索超时（秒）
a_erroridentifyingCode,Error Verification code,验证码错误
a_identifyingCode,Verification code,验证码
a_password,Password, 密码
a_username,User Name(Binding DN),用户名
a_keep,Favorites,收藏
a_bsphbk,BroadSoft Phonebook,BroadSoft电话簿
a_localgroup,Local Group,本地群组
a_localphbk,Local Phonebook,本地电话簿
a_ldapsearch,LDAP Search,LDAP搜索
a_phbkkeyfunc,Default Contacts Tab,默认通讯录显示项
a_lastname,Last Name,姓氏
a_firstname,First Name,名字
a_sortmethod,Sort Phonebook by,联系人排序
a_numberexist,The contact number already existed,该联系人号码已存在！
a_icecontactsempty,\"Emergency Call Numbers can't be empty!\",紧急联系人不能为空
a_nocomma,Emergency call number can't include \",\" character,紧急联系人不能包含\",\"字符！
a_icecontacts,Emergency Call Numbers,紧急联系人
a_12hours,12 Hours,12 小时
a_8hour,8 Hours,8 小时
a_6hour,6 Hours,6 小时
a_4hour,4 Hours,4 小时
a_2hour,2 Hours,2 小时
a_exportfiletype,Export Type,导出类型
a_imexportcontacts,Import/Export Contacts,导入/导出联系人
a_downoff,OFF,关闭
a_templatefile,Template File,模板文件
a_processing,The operation is processing,操作正在处理
a_importsuc,Import succeed,导入成功
a_downsuc,Download succeed,下载成功
ext_vcard,Please select a '.vcf' file,请选择.vcf文件。
ext_csv,Please select a '.csv' file,请选择.csv文件。
ext_xml_csv_etc,Please select a '.xml' or '.vcf'  or '.csv' file,请选择'.xml'或'.vcf''或'.csv'文件
ext_xml_etc,Please select a '.xml' or '.vcf' file,请选择'.xml'或'.vcf'文件
ext_xml,Please select a '.xml' file,请选择.xml文件。
a_enablepstn,Enable PSTN Disconnect Tone Detection,PSTN拆线音检测
a_cudisthreshold,Current Disconnect Threshold(ms),电流拆线阀值(毫秒)
a_enablecudis,Enable Current Disconnect,检测电流拆线
a_calleridscheme,Caller ID Scheme,来电显示机制
a_callerids,Caller IDs,来电显示
a_impedancebased,Impedance based,基于阻抗
a_countrybased,Country based,基于国家
a_country,Country-based,基于国家
a_impedance,Impedance-based,基于阻抗
a_acmodel,AC termination model,AC Termination模型
a_Noumea,Noumea, New Caledonia,努美阿
a_Sydney,Sydney, Canberra,悉尼
a_Tokyo,Tokyo, Osaka,日本时间 (东京)
a_Karachi,Islamabad, Karachi,卡拉奇
a_Beirut,Beirut, Lebanon,东欧标准时间 (贝鲁特)
a_Athens,Athens, Istanbul,东欧标准时间 (雅典)
a_Amman,Amman, Jordan,东欧标准时间 (安曼)
a_Amsterdam,Amsterdam, Berlin,中欧标准时间 (阿姆斯特丹)
a_London,London, Dublin,格林尼治标准时间 (伦敦)
a_Majuro,Majuro,马朱罗
a_24hour,24 hour,24小时制
a_12hour,12 hour,12小时制
a_normalymd,Normal(M/D/YYYY),普通（年/月/日）
a_timefmt,Time Display Format,时间显示格式
a_ntpserver2,Assign NTP Server Address 2,指定NTP服务地址2
a_ntpserver1,Assign NTP Server Address 1,指定NTP服务地址1
a_ntpserver,Assign NTP Server Address,指定NTP服务地址
a_conport,Connection Request Port,ACS 连接请求端口
a_conpwd,Connection Request Password,ACS 连接请求密码
a_conusername,Connection Request Username,ACS 连接请求用户名
a_perialenable,Periodic Inform Enable,开启定时连接
a_acspwd,ACS Password,ACS 密码
a_acsusername,ACS Username,ACS 用户名
a_acsurl,ACS URL,ACS 源
a_disrj9autodtc,Disable RJ9 Headset Auto Detect,关闭RJ9耳机自动检测
a_handsetrxtip,Handset TX(RX) Gain is set to +6dB, the increasing handset volume may cause irreversible damage to the hearing, are you sure to continue,手柄传输(接收)增益设置为+6dB，手柄音量会增加较大，可能会对听力造成不可逆的损伤，是否继续？
a_eqfidelity,Fidelity,高保真
a_eqgentle,Gentle,轻柔
a_handseteqrx,Handset Equalizer RX,手柄均衡模式
a_handsetrx,Handset RX Gain (dB),手柄接收增益 (分贝)
a_handsettx,Handset TX Gain (dB),手柄传输增益 (分贝)
a_vcardtx,Virtual Sound Card TX Gain(dB),虚拟声卡TX增益设置(分贝)
a_vcardrx,Virtual Sound Card RX Gain(dB),虚拟声卡RX增益设置(分贝)
a_disoppo,Show Opposite Screen,界面显示同步，通话使用远端画面
a_disori,HDMI Display Synchronization with LCD,HDMI显示和LCD同步
a_close,Close HDMI Output,关闭HDMI输出
a_hdmimode,HDMI Output Control,HDMI输出控制
a_aemode,Camera AE Mode,摄像头AE模式
a_adjustgreen,Green Light,绿灯
a_adjustblue,Blue Light,蓝灯
